Category,Amount
VEGA AIR               tiffany@vegaaAZUS,444.46
DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT,251.88
Ch JesusChrist 202308011208414 - DONATION,225
 DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT,276.79
SAFFORDVOLLEYBALL      HTTPSWWW.SCORWIUS,21.64
AMZN Mktp US*TA6YJ     Amzn.com/billWAUS,92.43
AMAZON.COM             SEATTLE      WAUS,29.88
AMAZON.COM             SEATTLE      WAUS,54.2
AMZN Mktp US*TH1LO     Amzn.com/billWAUS,98.13
Amazon.com*TH2D05K     Amzn.com/billWAUS,50.07
Steam Purchase     425-9522985  WAUS,37.84
